                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6591,                 3.6212,                 4.1841,                0.00362,                0.57185,                0.01342,                0.00436,                 3.1512,                 3.7837,                 4.2038,              0.0033235,              0.0033235,              0.0033235
                      2,                 3.1743,                 3.4083,                 3.6256,                0.03383,                0.27704,                0.01821,                0.00452,                 2.7955,                 3.9568,                 3.4181,              0.0066349,              0.0066349,              0.0066349
                      3,                 2.6852,                 3.1147,                 2.9912,                0.16338,                0.17562,                0.06062,                0.01939,                 2.4345,                  3.753,                  3.065,              0.0099243,              0.0099243,              0.0099243
                      4,                  2.332,                 2.7002,                 2.5305,                0.37807,                 0.3197,                0.23113,                0.09753,                   2.09,                 2.6766,                 2.5862,               0.009901,               0.009901,               0.009901
                      5,                 2.1761,                 2.5035,                 2.2923,                0.32897,                   0.28,                0.20714,                0.09473,                 1.9811,                 2.6449,                 2.4216,               0.009901,               0.009901,               0.009901
                      6,                 2.0778,                 2.3851,                 2.1716,                 0.2331,                0.30963,                0.15549,                0.06925,                 1.8736,                 2.8162,                 2.2908,               0.009868,               0.009868,               0.009868
                      7,                 2.0222,                 2.2944,                 2.0821,                0.36232,                 0.3363,                0.25072,                0.12277,                 1.8803,                 2.8422,                 2.2241,               0.009835,               0.009835,               0.009835
                      8,                 1.9763,                 2.2414,                 2.0269,                0.38946,                0.36593,                0.29743,                0.14747,                 1.7574,                 2.5156,                 2.1125,               0.009802,               0.009802,               0.009802
                      9,                 1.9247,                 2.1899,                 1.9902,                 0.3857,                0.34667,                0.25989,                0.12741,                 1.8027,                 2.5675,                 2.1233,               0.009769,               0.009769,               0.009769
                     10,                  1.908,                 2.1392,                 1.9509,                0.42259,                 0.3763,                0.30351,                 0.1584,                 1.7254,                 2.2381,                  2.071,               0.009736,               0.009736,               0.009736
                     11,                 1.8829,                 2.1032,                 1.9271,                 0.3557,                0.33333,                 0.2388,                0.13079,                 1.6444,                 2.3542,                  2.003,               0.009703,               0.009703,               0.009703
                     12,                 1.8441,                 2.0465,                 1.8978,                0.37832,                0.35111,                0.26282,                0.13859,                 1.6812,                 2.3651,                 2.0091,                0.00967,                0.00967,                0.00967
                     13,                 1.8111,                  1.995,                 1.8591,                0.38204,                0.36148,                0.29712,                0.15742,                 1.6324,                 2.2461,                 1.9564,               0.009637,               0.009637,               0.009637
                     14,                 1.8072,                 1.9848,                  1.846,                0.45559,                0.42649,                0.39362,                0.21481,                 1.6358,                 2.1485,                  1.952,               0.009604,               0.009604,               0.009604
                     15,                  1.785,                 1.9482,                  1.828,                0.48604,                0.41481,                0.36875,                0.20848,                 1.6308,                 2.0966,                 1.9048,               0.009571,               0.009571,               0.009571
                     16,                 1.7834,                 1.9253,                  1.811,                0.44959,                0.40296,                0.35317,                0.19765,                 1.6011,                 2.2861,                 1.8842,               0.009538,               0.009538,               0.009538
                     17,                 1.7534,                 1.9066,                 1.7967,                0.47722,                0.36784,                0.35367,                0.20457,                 1.5958,                 2.1492,                 1.8734,               0.009505,               0.009505,               0.009505
                     18,                 1.7416,                 1.8773,                 1.7954,                0.49334,                0.41926,                0.39611,                 0.2225,                  1.524,                 2.0333,                 1.8074,               0.009472,               0.009472,               0.009472
                     19,                 1.7141,                 1.8591,                 1.7747,                0.46735,                 0.4163,                0.40411,                0.23177,                 1.5653,                 2.1128,                 1.8311,               0.009439,               0.009439,               0.009439
                     20,                  1.721,                  1.836,                 1.7621,                0.41995,                0.38222,                0.35323,                0.20462,                 1.4797,                  2.212,                 1.7753,               0.009406,               0.009406,               0.009406
                     21,                  1.709,                 1.7992,                 1.7469,                0.56704,                 0.4288,                0.44361,                0.26468,                 1.4889,                 1.9164,                 1.7685,               0.009373,               0.009373,               0.009373
                     22,                 1.7084,                 1.8059,                  1.737,                0.43658,                    0.4,                0.34478,                0.19137,                 1.5825,                  2.016,                 1.8322,                0.00934,                0.00934,                0.00934
                     23,                 1.6954,                 1.7781,                 1.7211,                 0.4529,                0.41037,                0.37435,                0.22761,                 1.4624,                 2.0169,                 1.7461,               0.009307,               0.009307,               0.009307
                     24,                 1.6848,                 1.7674,                  1.716,                0.58242,                0.42074,                0.42622,                0.25667,                 1.4808,                 1.9196,                 1.7677,               0.009274,               0.009274,               0.009274
                     25,                  1.681,                 1.7583,                 1.7061,                0.49869,                   0.44,                0.41684,                0.26103,                 1.4158,                 2.0474,                 1.6962,               0.009241,               0.009241,               0.009241
                     26,                 1.6635,                 1.7428,                 1.7044,                0.54136,                0.41793,                0.43135,                 0.2613,                 1.4605,                 1.9553,                 1.7285,               0.009208,               0.009208,               0.009208
                     27,                 1.6618,                 1.7281,                 1.7023,                0.45416,                0.43852,                0.39114,                0.24279,                 1.3932,                 2.1329,                 1.6794,               0.009175,               0.009175,               0.009175
                     28,                 1.6644,                 1.7056,                 1.6881,                0.47773,                0.43259,                0.39442,                0.24459,                 1.4026,                 2.0669,                 1.6974,               0.009142,               0.009142,               0.009142
                     29,                 1.6383,                 1.6965,                 1.6709,                0.40453,                0.42815,                0.36261,                0.22205,                 1.4285,                 2.1654,                 1.7037,               0.009109,               0.009109,               0.009109
                     30,                 1.6286,                 1.6639,                 1.6801,                0.51243,                0.42662,                0.41153,                0.25022,                 1.4018,                 2.0246,                 1.6639,               0.009076,               0.009076,               0.009076
                     31,                 1.6356,                 1.6652,                 1.6725,                 0.4763,                0.46222,                 0.4217,                0.26995,                 1.3511,                 1.9917,                 1.6322,               0.009043,               0.009043,               0.009043
                     32,                 1.6238,                 1.6758,                 1.6663,                0.52459,                0.43852,                0.43341,                0.27579,                 1.3712,                 1.9275,                 1.6355,                0.00901,                0.00901,                0.00901
                     33,                 1.6115,                 1.6542,                 1.6576,                0.45026,                0.48657,                0.41425,                0.26219,                 1.3629,                 1.9478,                 1.6495,               0.008977,               0.008977,               0.008977
                     34,                 1.6179,                  1.629,                 1.6571,                0.50476,                0.47865,                0.45305,                0.29592,                 1.3344,                 1.9017,                  1.595,               0.008944,               0.008944,               0.008944
                     35,                 1.6171,                 1.6241,                 1.6452,                0.46378,                 0.4637,                0.39537,                0.24813,                 1.3502,                  2.016,                 1.6263,               0.008911,               0.008911,               0.008911
